@relation growth.symbolic

@attribute tax numeric
@attribute spending numeric
@attribute owned_bonds numeric
@attribute reserve_requirement numeric
@attribute growth numeric

@data
76.660729,333.333333,10,0.125,1
76.660729,334.858447,35.386671,0.125,1.048461
76.660729,349.209255,35.386671,0.125,1.051654
